Ra,Va,Vw
10810,5.196440,0.352958
10820,5.192516,0.353285
10830,5.188598,0.353612
10840,5.184686,0.353938
10850,5.180780,0.354265
10860,5.176880,0.354591
10870,5.172987,0.354918
10880,5.169099,0.355244
10890,5.165217,0.355571
10900,5.161341,0.355897
10910,5.157471,0.356224
10920,5.153608,0.356550
10930,5.149750,0.356877
10940,5.145898,0.357203
10950,5.142051,0.357530
10960,5.138211,0.357856
10970,5.134377,0.358183
10980,5.130548,0.358509
10990,5.126725,0.358836
11000,5.122909,0.359162
11010,5.119098,0.359489
11020,5.115292,0.359815
11030,5.111493,0.360142
11040,5.107699,0.360468
11050,5.103911,0.360795
11060,5.100129,0.361121
11070,5.096353,0.361448
11080,5.092582,0.361774
11090,5.088817,0.362101
11100,5.085058,0.362427
11110,5.081304,0.362754
11120,5.077556,0.363080
11130,5.073814,0.363407
11140,5.070077,0.363733
11150,5.066346,0.364060
11160,5.062621,0.364386
11170,5.058901,0.364713
11180,5.055187,0.365039
11190,5.051478,0.365366
11200,5.047775,0.365692
11210,5.044078,0.366019
11220,5.040386,0.366345
11230,5.036700,0.366672
11240,5.033019,0.366998
11250,5.029343,0.367325
11260,5.025673,0.367651
11270,5.022009,0.367978
11280,5.018350,0.368305
11290,5.014696,0.368631
11300,5.011048,0.368958
11310,5.007406,0.369284
11320,5.003768,0.369611
11330,5.000137,0.369937
11340,4.996510,0.370264
11350,4.992889,0.370590
11360,4.989273,0.370917
11370,4.985663,0.371243
11380,4.982058,0.371570
11390,4.978458,0.371896
11400,4.974864,0.372223
11410,4.971275,0.372549
11420,4.967691,0.372876
11430,4.964113,0.373202
11440,4.960540,0.373529
11450,4.956972,0.373855
11460,4.953409,0.374182
11470,4.949852,0.374508
11480,4.946299,0.374835
11490,4.942752,0.375161
11500,4.939211,0.375488
11510,4.935674,0.375814
11520,4.932142,0.376141
11530,4.928616,0.376467
11540,4.925095,0.376794
11550,4.921579,0.377120
11560,4.918068,0.377447
11570,4.914562,0.377773
11580,4.911062,0.378100
11590,4.907566,0.378426
11600,4.904076,0.378753
11610,4.900590,0.379079
11620,4.897110,0.379406
11630,4.893635,0.379732
11640,4.890165,0.380059
11650,4.886699,0.380385
11660,4.883239,0.380712
11670,4.879784,0.381038
11680,4.876334,0.381365
11690,4.872889,0.381691
11700,4.869448,0.382018
11710,4.866013,0.382344
11720,4.862583,0.382671
11730,4.859157,0.382998
11740,4.855737,0.383324
11750,4.852321,0.383651
11760,4.848911,0.383977
11770,4.845505,0.384304
11780,4.842104,0.384630
11790,4.838708,0.384957
11800,4.835317,0.385283
11810,4.831931,0.385610
11820,4.828550,0.385936
11830,4.825173,0.386263
11840,4.821801,0.386589
11850,4.818434,0.386916
11860,4.815072,0.387242
11870,4.811715,0.387569
11880,4.808362,0.387895
11890,4.805014,0.388222
11900,4.801671,0.388548
11910,4.798333,0.388875
11920,4.794999,0.389201
11930,4.791671,0.389528
11940,4.788347,0.389854
11950,4.785027,0.390181
11960,4.781712,0.390507
11970,4.778402,0.390834
11980,4.775097,0.391160
11990,4.771796,0.391487
12000,4.768500,0.391813
12010,4.765209,0.392140
12020,4.761922,0.392466
12030,4.758640,0.392793
12040,4.755363,0.393119
12050,4.752090,0.393446
12060,4.748822,0.393772
12070,4.745558,0.394099
12080,4.742299,0.394425
12090,4.739044,0.394752
12100,4.735794,0.395078
12110,4.732549,0.395405
12120,4.729308,0.395731
12130,4.726071,0.396058
12140,4.722840,0.396384
12150,4.719612,0.396711
12160,4.716389,0.397037
12170,4.713171,0.397364
12180,4.709957,0.397691
12190,4.706748,0.398017
12200,4.703543,0.398344
12210,4.700342,0.398670
12220,4.697146,0.398997
12230,4.693955,0.399323
12240,4.690767,0.399650
12250,4.687585,0.399976
12260,4.684406,0.400303
12270,4.681232,0.400629
12280,4.678063,0.400956
12290,4.674898,0.401282
12300,4.671737,0.401609
12310,4.668580,0.401935
12320,4.665428,0.402262
12330,4.662280,0.402588
12340,4.659137,0.402915
12350,4.655998,0.403241
12360,4.652863,0.403568
12370,4.649732,0.403894
12380,4.646606,0.404221
12390,4.643484,0.404547
12400,4.640366,0.404874
12410,4.637253,0.405200
12420,4.634144,0.405527
12430,4.631039,0.405853
12440,4.627938,0.406180
12450,4.624842,0.406506
12460,4.621750,0.406833
12470,4.618662,0.407159
12480,4.615578,0.407486
12490,4.612498,0.407812
12500,4.609423,0.408139
12510,4.606352,0.408465
12520,4.603285,0.408792
12530,4.600222,0.409118
12540,4.597163,0.409445
12550,4.594109,0.409771
12560,4.591058,0.410098
12570,4.588012,0.410424
12580,4.584970,0.410751
12590,4.581932,0.411077
12600,4.578898,0.411404
12610,4.575868,0.411730
12620,4.572842,0.412057
12630,4.569820,0.412384
12640,4.566803,0.412710
12650,4.563789,0.413037
12660,4.560780,0.413363
12670,4.557774,0.413690
12680,4.554773,0.414016
12690,4.551775,0.414343
12700,4.548782,0.414669
12710,4.545792,0.414996
12720,4.542807,0.415322
12730,4.539826,0.415649
12740,4.536848,0.415975
12750,4.533875,0.416302
12760,4.530905,0.416628
12770,4.527940,0.416955
12780,4.524978,0.417281
12790,4.522021,0.417608
12800,4.519067,0.417934
12810,4.516117,0.418261
12820,4.513171,0.418587
12830,4.510230,0.418914
12840,4.507292,0.419240
12850,4.504358,0.419567
12860,4.501427,0.419893
12870,4.498501,0.420220
12880,4.495579,0.420546
12890,4.492660,0.420873
12900,4.489745,0.421199
12910,4.486834,0.421526
12920,4.483927,0.421852
12930,4.481024,0.422179
12940,4.478125,0.422505
12950,4.475229,0.422832
12960,4.472338,0.423158
12970,4.469450,0.423485
12980,4.466566,0.423811
12990,4.463685,0.424138
13000,4.460809,0.424464
13010,4.457936,0.424791
13020,4.455067,0.425117
13030,4.452202,0.425444
13040,4.449340,0.425770
13050,4.446482,0.426097
13060,4.443628,0.426423
13070,4.440778,0.426750
13080,4.437931,0.427077
13090,4.435089,0.427403
13100,4.432249,0.427730
13110,4.429414,0.428056
13120,4.426582,0.428383
13130,4.423754,0.428709
13140,4.420930,0.429036
13150,4.418109,0.429362
13160,4.415292,0.429689
13170,4.412479,0.430015
13180,4.409669,0.430342
13190,4.406863,0.430668
13200,4.404060,0.430995
13210,4.401261,0.431321
13220,4.398466,0.431648
13230,4.395675,0.431974
13240,4.392887,0.432301
13250,4.390102,0.432627
13260,4.387321,0.432954
13270,4.384544,0.433280
13280,4.381770,0.433607
13290,4.379000,0.433933
13300,4.376234,0.434260
13310,4.373471,0.434586
13320,4.370712,0.434913
13330,4.367956,0.435239
13340,4.365203,0.435566
13350,4.362454,0.435892
13360,4.359709,0.436219
13370,4.356967,0.436545
13380,4.354229,0.436872
13390,4.351494,0.437198
13400,4.348763,0.437525
13410,4.346035,0.437851
13420,4.343311,0.438178
13430,4.340590,0.438504
13440,4.337873,0.438831
13450,4.335159,0.439157
13460,4.332449,0.439484
13470,4.329742,0.439810
13480,4.327038,0.440137
13490,4.324338,0.440463
13500,4.321641,0.440790
13510,4.318948,0.441116
13520,4.316258,0.441443
13530,4.313572,0.441770
13540,4.310888,0.442096
13550,4.308209,0.442423
13560,4.305533,0.442749
13570,4.302860,0.443076
13580,4.300190,0.443402
13590,4.297524,0.443729
13600,4.294861,0.444055
13610,4.292202,0.444382
13620,4.289546,0.444708
13630,4.286893,0.445035
13640,4.284244,0.445361
13650,4.281597,0.445688
13660,4.278955,0.446014
13670,4.276315,0.446341
13680,4.273679,0.446667
13690,4.271046,0.446994
13700,4.268417,0.447320
13710,4.265791,0.447647
13720,4.263168,0.447973
13730,4.260548,0.448300
13740,4.257932,0.448626
13750,4.255318,0.448953
13760,4.252709,0.449279
13770,4.250102,0.449606
13780,4.247499,0.449932
13790,4.244898,0.450259
13800,4.242302,0.450585
13810,4.239708,0.450912
13820,4.237117,0.451238
13830,4.234530,0.451565
13840,4.231946,0.451891
13850,4.229365,0.452218
13860,4.226788,0.452544
13870,4.224213,0.452871
13880,4.221642,0.453197
13890,4.219074,0.453524
13900,4.216509,0.453850
13910,4.213948,0.454177
13920,4.211389,0.454503
13930,4.208834,0.454830
13940,4.206281,0.455156
13950,4.203732,0.455483
13960,4.201186,0.455809
13970,4.198644,0.456136
13980,4.196104,0.456463
13990,4.193567,0.456789
14000,4.191034,0.457116
14010,4.188504,0.457442
14020,4.185976,0.457769
14030,4.183452,0.458095
14040,4.180931,0.458422
14050,4.178413,0.458748
14060,4.175898,0.459075
14070,4.173387,0.459401
14080,4.170878,0.459728
14090,4.168372,0.460054
14100,4.165870,0.460381
14110,4.163370,0.460707
14120,4.160874,0.461034
14130,4.158380,0.461360
14140,4.155890,0.461687
14150,4.153402,0.462013
14160,4.150918,0.462340
14170,4.148437,0.462666
14180,4.145958,0.462993
14190,4.143483,0.463319
14200,4.141010,0.463646
14210,4.138541,0.463972
14220,4.136075,0.464299
14230,4.133611,0.464625
14240,4.131151,0.464952
14250,4.128694,0.465278
14260,4.126239,0.465605
14270,4.123788,0.465931
14280,4.121339,0.466258
14290,4.118894,0.466584
14300,4.116451,0.466911
14310,4.114011,0.467237
14320,4.111575,0.467564
14330,4.109141,0.467890
14340,4.106710,0.468217
14350,4.104282,0.468543
14360,4.101857,0.468870
14370,4.099435,0.469196
14380,4.097016,0.469523
14390,4.094599,0.469849
14400,4.092186,0.470176
14410,4.089775,0.470502
14420,4.087368,0.470829
14430,4.084963,0.471156
14440,4.082561,0.471482
14450,4.080162,0.471809
14460,4.077766,0.472135
14470,4.075372,0.472462
14480,4.072982,0.472788
14490,4.070594,0.473115
14500,4.068209,0.473441
14510,4.065827,0.473768
14520,4.063448,0.474094
14530,4.061072,0.474421
14540,4.058699,0.474747
14550,4.056328,0.475074
14560,4.053960,0.475400
14570,4.051595,0.475727
14580,4.049233,0.476053
14590,4.046873,0.476380
14600,4.044517,0.476706
14610,4.042163,0.477033
14620,4.039812,0.477359
14630,4.037463,0.477686
14640,4.035118,0.478012
14650,4.032775,0.478339
14660,4.030435,0.478665
14670,4.028098,0.478992
14680,4.025763,0.479318
14690,4.023432,0.479645
14700,4.021103,0.479971
14710,4.018776,0.480298
14720,4.016453,0.480624
14730,4.014132,0.480951
14740,4.011814,0.481277
14750,4.009498,0.481604
14760,4.007186,0.481930
14770,4.004876,0.482257
14780,4.002568,0.482583
14790,4.000264,0.482910
14800,3.997962,0.483236
14810,3.995663,0.483563
14820,3.993366,0.483889
14830,3.991072,0.484216
14840,3.988781,0.484542
14850,3.986493,0.484869
14860,3.984207,0.485195
14870,3.981924,0.485522
14880,3.979643,0.485849
14890,3.977365,0.486175
14900,3.975090,0.486502
14910,3.972818,0.486828
14920,3.970548,0.487155
14930,3.968280,0.487481
14940,3.966016,0.487808
14950,3.963754,0.488134
14960,3.961494,0.488461
14970,3.959237,0.488787
14980,3.956983,0.489114
14990,3.954732,0.489440
15000,3.952483,0.489767
15010,3.950236,0.490093
15020,3.947992,0.490420
15030,3.945751,0.490746
15040,3.943512,0.491073
15050,3.941276,0.491399
15060,3.939043,0.491726
15070,3.936812,0.492052
15080,3.934583,0.492379
15090,3.932358,0.492705
15100,3.930134,0.493032
15110,3.927914,0.493358
15120,3.925695,0.493685
15130,3.923480,0.494011
15140,3.921267,0.494338
15150,3.919056,0.494664
15160,3.916848,0.494991
15170,3.914643,0.495317
15180,3.912440,0.495644
15190,3.910239,0.495970
15200,3.908041,0.496297
15210,3.905846,0.496623
15220,3.903653,0.496950
15230,3.901462,0.497276
15240,3.899274,0.497603
15250,3.897089,0.497929
15260,3.894906,0.498256
15270,3.892725,0.498582
15280,3.890547,0.498909
15290,3.888371,0.499235
15300,3.886198,0.499562
15310,3.884028,0.499888
15320,3.881859,0.500215
15330,3.879694,0.500542
15340,3.877530,0.500868
15350,3.875370,0.501195
15360,3.873211,0.501521
15370,3.871055,0.501848
15380,3.868902,0.502174
15390,3.866751,0.502501
15400,3.864602,0.502827
15410,3.862456,0.503154
15420,3.860312,0.503480
15430,3.858170,0.503807
15440,3.856031,0.504133
15450,3.853895,0.504460
15460,3.851760,0.504786
15470,3.849629,0.505113
15480,3.847499,0.505439
15490,3.845372,0.505766
15500,3.843247,0.506092
15510,3.841125,0.506419
15520,3.839005,0.506745
15530,3.836888,0.507072
15540,3.834773,0.507398
15550,3.832660,0.507725
15560,3.830549,0.508051
15570,3.828441,0.508378
15580,3.826335,0.508704
15590,3.824232,0.509031
15600,3.822131,0.509357
15610,3.820032,0.509684
15620,3.817936,0.510010
15630,3.815842,0.510337
15640,3.813750,0.510663
15650,3.811661,0.510990
15660,3.809574,0.511316
15670,3.807489,0.511643
15680,3.805406,0.511969
15690,3.803326,0.512296
15700,3.801248,0.512622
15710,3.799173,0.512949
15720,3.797100,0.513275
15730,3.795029,0.513602
15740,3.792960,0.513928
15750,3.790894,0.514255
15760,3.788830,0.514581
15770,3.786768,0.514908
15780,3.784708,0.515235
15790,3.782651,0.515561
15800,3.780596,0.515888
15810,3.778543,0.516214
15820,3.776493,0.516541
15830,3.774445,0.516867
15840,3.772399,0.517194
15850,3.770355,0.517520
15860,3.768313,0.517847
15870,3.766274,0.518173
15880,3.764237,0.518500
15890,3.762202,0.518826
15900,3.760170,0.519153
15910,3.758139,0.519479
15920,3.756111,0.519806
15930,3.754085,0.520132
15940,3.752062,0.520459
15950,3.750040,0.520785
15960,3.748021,0.521112
15970,3.746004,0.521438
15980,3.743989,0.521765
15990,3.741976,0.522091
16000,3.739966,0.522418
16010,3.737958,0.522744
16020,3.735952,0.523071
16030,3.733948,0.523397
16040,3.731946,0.523724
16050,3.729946,0.524050
16060,3.727949,0.524377
16070,3.725954,0.524703
16080,3.723961,0.525030
16090,3.721970,0.525356
16100,3.719981,0.525683
16110,3.717994,0.526009
16120,3.716010,0.526336
16130,3.714028,0.526662
16140,3.712047,0.526989
16150,3.710069,0.527315
16160,3.708094,0.527642
16170,3.706120,0.527968
16180,3.704148,0.528295
16190,3.702179,0.528621
16200,3.700211,0.528948
16210,3.698246,0.529274
16220,3.696283,0.529601
16230,3.694322,0.529928
16240,3.692363,0.530254
16250,3.690406,0.530581
16260,3.688451,0.530907
16270,3.686499,0.531234
16280,3.684548,0.531560
16290,3.682600,0.531887
16300,3.680653,0.532213
16310,3.678709,0.532540
16320,3.676767,0.532866
16330,3.674826,0.533193
16340,3.672888,0.533519
16350,3.670952,0.533846
16360,3.669019,0.534172
16370,3.667087,0.534499
16380,3.665157,0.534825
16390,3.663229,0.535152
16400,3.661303,0.535478
16410,3.659380,0.535805
16420,3.657458,0.536131
16430,3.655539,0.536458
16440,3.653621,0.536784
16450,3.651706,0.537111
16460,3.649792,0.537437
16470,3.647881,0.537764
16480,3.645971,0.538090
16490,3.644064,0.538417
16500,3.642159,0.538743
16510,3.640255,0.539070
16520,3.638354,0.539396
16530,3.636455,0.539723
16540,3.634557,0.540049
16550,3.632662,0.540376
16560,3.630769,0.540702
16570,3.628877,0.541029
16580,3.626988,0.541355
16590,3.625101,0.541682
16600,3.623215,0.542008
16610,3.621332,0.542335
16620,3.619451,0.542661
16630,3.617571,0.542988
16640,3.615694,0.543314
16650,3.613818,0.543641
16660,3.611945,0.543967
16670,3.610074,0.544294
16680,3.608204,0.544621
16690,3.606336,0.544947
16700,3.604471,0.545274
16710,3.602607,0.545600
16720,3.600745,0.545927
16730,3.598886,0.546253
16740,3.597028,0.546580
16750,3.595172,0.546906
16760,3.593318,0.547233
16770,3.591466,0.547559
16780,3.589616,0.547886
16790,3.587768,0.548212
16800,3.585921,0.548539
16810,3.584077,0.548865
16820,3.582235,0.549192
16830,3.580394,0.549518
16840,3.578556,0.549845
16850,3.576719,0.550171
16860,3.574884,0.550498
16870,3.573051,0.550824
16880,3.571220,0.551151
16890,3.569391,0.551477
16900,3.567564,0.551804
16910,3.565739,0.552130
16920,3.563916,0.552457
16930,3.562094,0.552783
16940,3.560275,0.553110
16950,3.558457,0.553436
16960,3.556641,0.553763
16970,3.554827,0.554089
16980,3.553015,0.554416
16990,3.551205,0.554742
17000,3.549396,0.555069
17010,3.547590,0.555395
17020,3.545785,0.555722
17030,3.543983,0.556048
17040,3.542182,0.556375
17050,3.540383,0.556701
17060,3.538585,0.557028
17070,3.536790,0.557354
17080,3.534996,0.557681
17090,3.533205,0.558007
17100,3.531415,0.558334
17110,3.529627,0.558660
17120,3.527841,0.558987
17130,3.526056,0.559314
17140,3.524274,0.559640
17150,3.522493,0.559967
17160,3.520714,0.560293
17170,3.518937,0.560620
17180,3.517162,0.560946
17190,3.515388,0.561273
17200,3.513617,0.561599
17210,3.511847,0.561926
17220,3.510079,0.562252
17230,3.508313,0.562579
17240,3.506548,0.562905
17250,3.504785,0.563232
17260,3.503025,0.563558
17270,3.501266,0.563885
17280,3.499508,0.564211
17290,3.497753,0.564538
17300,3.495999,0.564864
17310,3.494247,0.565191
17320,3.492497,0.565517
17330,3.490749,0.565844
17340,3.489002,0.566170
17350,3.487257,0.566497
17360,3.485514,0.566823
17370,3.483773,0.567150
17380,3.482033,0.567476
17390,3.480295,0.567803
17400,3.478559,0.568129
17410,3.476825,0.568456
17420,3.475093,0.568782
17430,3.473362,0.569109
17440,3.471633,0.569435
17450,3.469905,0.569762
17460,3.468180,0.570088
17470,3.466456,0.570415
17480,3.464734,0.570741
17490,3.463013,0.571068
17500,3.461295,0.571394
17510,3.459578,0.571721
17520,3.457863,0.572047
17530,3.456149,0.572374
17540,3.454437,0.572700
17550,3.452727,0.573027
17560,3.451019,0.573353
17570,3.449312,0.573680
17580,3.447607,0.574007
17590,3.445904,0.574333
17600,3.444203,0.574660
17610,3.442503,0.574986
17620,3.440805,0.575313
17630,3.439108,0.575639
17640,3.437413,0.575966
17650,3.435720,0.576292
17660,3.434029,0.576619
17670,3.432339,0.576945
17680,3.430651,0.577272
17690,3.428965,0.577598
17700,3.427280,0.577925
17710,3.425597,0.578251
17720,3.423916,0.578578
17730,3.422236,0.578904
17740,3.420558,0.579231
17750,3.418882,0.579557
17760,3.417207,0.579884
17770,3.415534,0.580210
17780,3.413863,0.580537
17790,3.412193,0.580863
17800,3.410525,0.581190
17810,3.408859,0.581516
17820,3.407194,0.581843
17830,3.405531,0.582169
17840,3.403870,0.582496
17850,3.402210,0.582822
17860,3.400552,0.583149
17870,3.398895,0.583475
17880,3.397240,0.583802
17890,3.395587,0.584128
17900,3.393935,0.584455
17910,3.392285,0.584781
17920,3.390637,0.585108
17930,3.388990,0.585434
17940,3.387345,0.585761
17950,3.385701,0.586087
17960,3.384059,0.586414
17970,3.382419,0.586740
17980,3.380780,0.587067
17990,3.379143,0.587393
18000,3.377507,0.587720
18010,3.375873,0.588046
18020,3.374241,0.588373
18030,3.372610,0.588700
18040,3.370981,0.589026
18050,3.369354,0.589353
18060,3.367728,0.589679
18070,3.366103,0.590006
18080,3.364480,0.590332
18090,3.362859,0.590659
18100,3.361240,0.590985
18110,3.359621,0.591312
18120,3.358005,0.591638
18130,3.356390,0.591965
18140,3.354777,0.592291
18150,3.353165,0.592618
18160,3.351555,0.592944
18170,3.349946,0.593271
18180,3.348339,0.593597
18190,3.346733,0.593924
18200,3.345129,0.594250
18210,3.343527,0.594577
18220,3.341926,0.594903
18230,3.340327,0.595230
18240,3.338729,0.595556
18250,3.337133,0.595883
18260,3.335538,0.596209
18270,3.333945,0.596536
18280,3.332353,0.596862
18290,3.330763,0.597189
18300,3.329174,0.597515
18310,3.327587,0.597842
18320,3.326002,0.598168
18330,3.324418,0.598495
18340,3.322836,0.598821
18350,3.321255,0.599148
18360,3.319675,0.599474
18370,3.318097,0.599801
18380,3.316521,0.600127
18390,3.314946,0.600454
18400,3.313373,0.600780
18410,3.311801,0.601107
18420,3.310230,0.601433
18430,3.308662,0.601760
18440,3.307094,0.602086
18450,3.305528,0.602413
18460,3.303964,0.602739
18470,3.302401,0.603066
18480,3.300840,0.603393
18490,3.299280,0.603719
18500,3.297722,0.604046
18510,3.296165,0.604372
18520,3.294609,0.604699
18530,3.293056,0.605025
18540,3.291503,0.605352
18550,3.289952,0.605678
18560,3.288403,0.606005
18570,3.286855,0.606331
18580,3.285308,0.606658
18590,3.283763,0.606984
18600,3.282219,0.607311
18610,3.280677,0.607637
18620,3.279137,0.607964
18630,3.277597,0.608290
18640,3.276060,0.608617
18650,3.274523,0.608943
18660,3.272989,0.609270
18670,3.271455,0.609596
18680,3.269923,0.609923
18690,3.268393,0.610249
18700,3.266864,0.610576
18710,3.265336,0.610902
18720,3.263810,0.611229
18730,3.262285,0.611555
18740,3.260762,0.611882
18750,3.259240,0.612208
18760,3.257720,0.612535
18770,3.256201,0.612861
18780,3.254683,0.613188
18790,3.253167,0.613514
18800,3.251653,0.613841
18810,3.250139,0.614167
18820,3.248627,0.614494
18830,3.247117,0.614820
18840,3.245608,0.615147
18850,3.244100,0.615473
18860,3.242594,0.615800
18870,3.241090,0.616126
18880,3.239586,0.616453
18890,3.238084,0.616779
18900,3.236584,0.617106
18910,3.235085,0.617432
18920,3.233587,0.617759
18930,3.232091,0.618086
18940,3.230596,0.618412
18950,3.229102,0.618739
18960,3.227610,0.619065
18970,3.226119,0.619392
18980,3.224630,0.619718
18990,3.223142,0.620045
19000,3.221655,0.620371
19010,3.220170,0.620698
19020,3.218686,0.621024
19030,3.217204,0.621351
19040,3.215723,0.621677
19050,3.214243,0.622004
19060,3.212765,0.622330
19070,3.211288,0.622657
19080,3.209812,0.622983
19090,3.208338,0.623310
19100,3.206865,0.623636
19110,3.205394,0.623963
19120,3.203924,0.624289
19130,3.202455,0.624616
19140,3.200988,0.624942
19150,3.199522,0.625269
19160,3.198057,0.625595
19170,3.196594,0.625922
19180,3.195132,0.626248
19190,3.193671,0.626575
19200,3.192212,0.626901
19210,3.190754,0.627228
19220,3.189297,0.627554
19230,3.187842,0.627881
19240,3.186388,0.628207
19250,3.184936,0.628534
19260,3.183484,0.628860
19270,3.182035,0.629187
19280,3.180586,0.629513
19290,3.179139,0.629840
19300,3.177693,0.630166
19310,3.176248,0.630493
19320,3.174805,0.630819
19330,3.173363,0.631146
19340,3.171923,0.631472
19350,3.170483,0.631799
19360,3.169045,0.632125
19370,3.167609,0.632452
19380,3.166173,0.632779
19390,3.164739,0.633105
19400,3.163307,0.633432
19410,3.161875,0.633758
19420,3.160445,0.634085
19430,3.159017,0.634411
19440,3.157589,0.634738
19450,3.156163,0.635064
19460,3.154738,0.635391
19470,3.153314,0.635717
19480,3.151892,0.636044
19490,3.150471,0.636370
19500,3.149051,0.636697
19510,3.147633,0.637023
19520,3.146216,0.637350
19530,3.144800,0.637676
19540,3.143386,0.638003
19550,3.141972,0.638329
19560,3.140560,0.638656
19570,3.139150,0.638982
19580,3.137740,0.639309
19590,3.136332,0.639635
19600,3.134925,0.639962
19610,3.133520,0.640288
19620,3.132115,0.640615
19630,3.130712,0.640941
19640,3.129311,0.641268
19650,3.127910,0.641594
19660,3.126511,0.641921
19670,3.125113,0.642247
19680,3.123716,0.642574
19690,3.122321,0.642900
19700,3.120927,0.643227
19710,3.119534,0.643553
19720,3.118142,0.643880
19730,3.116751,0.644206
19740,3.115362,0.644533
19750,3.113974,0.644859
19760,3.112588,0.645186
19770,3.111202,0.645512
19780,3.109818,0.645839
19790,3.108435,0.646165
19800,3.107053,0.646492
19810,3.105673,0.646818
19820,3.104294,0.647145
19830,3.102916,0.647472
19840,3.101539,0.647798
19850,3.100163,0.648125
19860,3.098789,0.648451
19870,3.097416,0.648778
19880,3.096044,0.649104
19890,3.094674,0.649431
19900,3.093304,0.649757
19910,3.091936,0.650084
19920,3.090569,0.650410
19930,3.089203,0.650737
19940,3.087839,0.651063
19950,3.086475,0.651390
19960,3.085113,0.651716
19970,3.083752,0.652043
19980,3.082393,0.652369
19990,3.081034,0.652696
20000,3.079677,0.653022
20010,3.078321,0.653349
20020,3.076966,0.653675
20030,3.075613,0.654002
20040,3.074260,0.654328
20050,3.072909,0.654655
20060,3.071559,0.654981
20070,3.070210,0.655308
20080,3.068862,0.655634
20090,3.067516,0.655961
20100,3.066171,0.656287
20110,3.064827,0.656614
20120,3.063484,0.656940
20130,3.062142,0.657267
20140,3.060802,0.657593
20150,3.059462,0.657920
20160,3.058124,0.658246
20170,3.056787,0.658573
20180,3.055451,0.658899
20190,3.054117,0.659226
20200,3.052783,0.659552
20210,3.051451,0.659879
20220,3.050120,0.660205
20230,3.048790,0.660532
20240,3.047461,0.660858
20250,3.046134,0.661185
20260,3.044807,0.661511
20270,3.043482,0.661838
20280,3.042158,0.662165
20290,3.040835,0.662491
20300,3.039513,0.662818
20310,3.038193,0.663144
20320,3.036873,0.663471
20330,3.035555,0.663797
20340,3.034238,0.664124
20350,3.032922,0.664450
20360,3.031607,0.664777
20370,3.030294,0.665103
20380,3.028981,0.665430
20390,3.027670,0.665756
20400,3.026359,0.666083
20410,3.025050,0.666409
20420,3.023742,0.666736
20430,3.022436,0.667062
20440,3.021130,0.667389
20450,3.019825,0.667715
20460,3.018522,0.668042
20470,3.017220,0.668368
20480,3.015919,0.668695
20490,3.014619,0.669021
20500,3.013320,0.669348
20510,3.012022,0.669674
20520,3.010725,0.670001
20530,3.009430,0.670327
20540,3.008135,0.670654
20550,3.006842,0.670980
20560,3.005550,0.671307
20570,3.004259,0.671633
20580,3.002969,0.671960
20590,3.001680,0.672286
20600,3.000393,0.672613
20610,2.999106,0.672939
20620,2.997821,0.673266
20630,2.996537,0.673592
20640,2.995253,0.673919
20650,2.993971,0.674245
20660,2.992690,0.674572
20670,2.991410,0.674898
20680,2.990132,0.675225
20690,2.988854,0.675551
20700,2.987577,0.675878
20710,2.986302,0.676204
20720,2.985027,0.676531
20730,2.983754,0.676858
20740,2.982482,0.677184
20750,2.981211,0.677511
20760,2.979941,0.677837
20770,2.978672,0.678164
20780,2.977404,0.678490
20790,2.976137,0.678817
20800,2.974872,0.679143
20810,2.973607,0.679470
20820,2.972344,0.679796
20830,2.971081,0.680123
20840,2.969820,0.680449
20850,2.968560,0.680776
20860,2.967301,0.681102
20870,2.966043,0.681429
20880,2.964786,0.681755
20890,2.963530,0.682082
20900,2.962275,0.682408
20910,2.961021,0.682735
20920,2.959768,0.683061
20930,2.958517,0.683388
20940,2.957266,0.683714
20950,2.956017,0.684041
20960,2.954768,0.684367
20970,2.953521,0.684694
20980,2.952274,0.685020
20990,2.951029,0.685347
21000,2.949785,0.685673
21010,2.948542,0.686000
21020,2.947300,0.686326
21030,2.946059,0.686653
21040,2.944819,0.686979
21050,2.943580,0.687306
21060,2.942342,0.687632
21070,2.941105,0.687959
21080,2.939869,0.688285
21090,2.938634,0.688612
21100,2.937401,0.688938
21110,2.936168,0.689265
21120,2.934936,0.689591
21130,2.933706,0.689918
21140,2.932476,0.690244
21150,2.931248,0.690571
21160,2.930020,0.690897
21170,2.928794,0.691224
21180,2.927569,0.691551
21190,2.926344,0.691877
21200,2.925121,0.692204
21210,2.923899,0.692530
21220,2.922677,0.692857
21230,2.921457,0.693183
21240,2.920238,0.693510
21250,2.919020,0.693836
21260,2.917803,0.694163
21270,2.916587,0.694489
21280,2.915371,0.694816
21290,2.914157,0.695142
21300,2.912944,0.695469
21310,2.911732,0.695795
21320,2.910521,0.696122
21330,2.909311,0.696448
21340,2.908102,0.696775
21350,2.906894,0.697101
21360,2.905687,0.697428
21370,2.904481,0.697754
21380,2.903276,0.698081
21390,2.902072,0.698407
21400,2.900869,0.698734
21410,2.899668,0.699060
21420,2.898467,0.699387
21430,2.897267,0.699713
21440,2.896068,0.700040
21450,2.894870,0.700366
21460,2.893673,0.700693
21470,2.892477,0.701019
21480,2.891282,0.701346
21490,2.890088,0.701672
21500,2.888895,0.701999
21510,2.887703,0.702325
21520,2.886512,0.702652
21530,2.885322,0.702978
21540,2.884133,0.703305
21550,2.882945,0.703631
21560,2.881758,0.703958
