Ra,Va,Vw
2530,14.974894,0.082607
2540,14.936878,0.082934
2550,14.899084,0.083260
2560,14.861509,0.083587
2570,14.824151,0.083913
2580,14.787009,0.084240
2590,14.750080,0.084566
2600,14.713363,0.084893
2610,14.676855,0.085219
2620,14.640554,0.085546
2630,14.604459,0.085872
2640,14.568567,0.086199
2650,14.532877,0.086525
2660,14.497386,0.086852
2670,14.462094,0.087178
2680,14.426998,0.087505
2690,14.392096,0.087831
2700,14.357387,0.088158
2710,14.322869,0.088485
2720,14.288540,0.088811
2730,14.254399,0.089138
2740,14.220443,0.089464
2750,14.186671,0.089791
2760,14.153082,0.090117
2770,14.119674,0.090444
2780,14.086445,0.090770
2790,14.053394,0.091097
2800,14.020519,0.091423
2810,13.987819,0.091750
2820,13.955292,0.092076
2830,13.922937,0.092403
2840,13.890751,0.092729
2850,13.858735,0.093056
2860,13.826886,0.093382
2870,13.795202,0.093709
2880,13.763683,0.094035
2890,13.732327,0.094362
2900,13.701133,0.094688
2910,13.670099,0.095015
2920,13.639224,0.095341
2930,13.608507,0.095668
2940,13.577946,0.095994
2950,13.547540,0.096321
2960,13.517287,0.096647
2970,13.487188,0.096974
2980,13.457239,0.097300
2990,13.427440,0.097627
3000,13.397791,0.097953
3010,13.368288,0.098280
3020,13.338933,0.098606
3030,13.309722,0.098933
3040,13.280655,0.099259
3050,13.251731,0.099586
3060,13.222949,0.099912
3070,13.194308,0.100239
3080,13.165806,0.100565
3090,13.137442,0.100892
3100,13.109216,0.101218
3110,13.081126,0.101545
3120,13.053170,0.101871
3130,13.025349,0.102198
3140,12.997661,0.102524
3150,12.970106,0.102851
3160,12.942681,0.103178
3170,12.915385,0.103504
3180,12.888219,0.103831
3190,12.861181,0.104157
3200,12.834270,0.104484
3210,12.807485,0.104810
3220,12.780825,0.105137
3230,12.754289,0.105463
3240,12.727876,0.105790
3250,12.701586,0.106116
3260,12.675417,0.106443
3270,12.649368,0.106769
3280,12.623439,0.107096
3290,12.597628,0.107422
3300,12.571936,0.107749
3310,12.546360,0.108075
3320,12.520900,0.108402
3330,12.495555,0.108728
3340,12.470325,0.109055
3350,12.445208,0.109381
3360,12.420204,0.109708
3370,12.395312,0.110034
3380,12.370530,0.110361
3390,12.345859,0.110687
3400,12.321298,0.111014
3410,12.296845,0.111340
3420,12.272500,0.111667
3430,12.248262,0.111993
3440,12.224130,0.112320
3450,12.200104,0.112646
3460,12.176183,0.112973
3470,12.152366,0.113299
3480,12.128653,0.113626
3490,12.105042,0.113952
3500,12.081533,0.114279
3510,12.058125,0.114605
3520,12.034817,0.114932
3530,12.011610,0.115258
3540,11.988502,0.115585
3550,11.965492,0.115911
3560,11.942579,0.116238
3570,11.919764,0.116564
3580,11.897046,0.116891
3590,11.874423,0.117217
3600,11.851895,0.117544
3610,11.829462,0.117871
3620,11.807123,0.118197
3630,11.784876,0.118524
3640,11.762723,0.118850
3650,11.740661,0.119177
3660,11.718691,0.119503
3670,11.696811,0.119830
3680,11.675022,0.120156
3690,11.653322,0.120483
3700,11.631711,0.120809
3710,11.610188,0.121136
3720,11.588754,0.121462
3730,11.567406,0.121789
3740,11.546145,0.122115
3750,11.524970,0.122442
3760,11.503880,0.122768
3770,11.482876,0.123095
3780,11.461956,0.123421
3790,11.441119,0.123748
3800,11.420366,0.124074
3810,11.399696,0.124401
3820,11.379108,0.124727
3830,11.358602,0.125054
3840,11.338177,0.125380
3850,11.317832,0.125707
3860,11.297568,0.126033
3870,11.277383,0.126360
3880,11.257278,0.126686
3890,11.237251,0.127013
3900,11.217302,0.127339
3910,11.197431,0.127666
3920,11.177637,0.127992
3930,11.157920,0.128319
3940,11.138279,0.128645
3950,11.118714,0.128972
3960,11.099224,0.129298
3970,11.079809,0.129625
3980,11.060468,0.129951
3990,11.041201,0.130278
4000,11.022008,0.130604
4010,11.002888,0.130931
4020,10.983840,0.131257
4030,10.964864,0.131584
4040,10.945960,0.131910
4050,10.927127,0.132237
4060,10.908365,0.132564
4070,10.889673,0.132890
4080,10.871051,0.133217
4090,10.852499,0.133543
4100,10.834016,0.133870
4110,10.815602,0.134196
4120,10.797255,0.134523
4130,10.778977,0.134849
4140,10.760766,0.135176
4150,10.742623,0.135502
4160,10.724546,0.135829
4170,10.706535,0.136155
4180,10.688590,0.136482
4190,10.670711,0.136808
4200,10.652897,0.137135
4210,10.635148,0.137461
4220,10.617463,0.137788
4230,10.599842,0.138114
4240,10.582284,0.138441
4250,10.564790,0.138767
4260,10.547359,0.139094
4270,10.529991,0.139420
4280,10.512684,0.139747
